is Elon Musk,created at,source,possibly sensitive,lang,has_text,has_link,has_hashtag,has_at,has_emoji,sentiment,subjectivity,retweet count,reply count,like count,quote count
1,2022-04-28 17:47:22+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,208691,93279,1557473,45291
1,2022-04-28 01:57:27+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.5,0.5,212728,77519,2579867,26884
1,2022-04-28 01:53:50+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.375,0.2,194623,115108,2649566,36681
1,2022-04-28 00:56:58+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,681651,193938,4780372,179586
1,2022-04-28 00:13:47+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,107723,42407,1466301,17709
1,2022-04-27 20:38:20+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.1357142857142857,0.46904761904761905,144543,80850,1552280,29265
1,2022-04-27 18:06:21+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,46666,20121,475085,4915
1,2022-04-27 17:28:36+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,18747,17315,473165,3406
1,2022-04-27 17:11:41+00:00,Twitter for iPhone,0,en,1,0,0,0,0,-0.1888888888888888,0.6222222222222222,29626,20911,489365,4793
1,2022-04-27 05:01:00+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0166666666666666,0.23333333333333334,49750,45751,607414,8543
1,2022-04-26 20:15:32+00:00,Twitter for iPhone,0,it,1,0,0,0,0,0.0,0.0,41264,36428,518058,8178
1,2022-04-26 20:09:46+00:00,Twitter for iPhone,0,en,1,0,0,0,0,-0.1666666666666666,0.16666666666666666,21722,19541,404121,3025
1,2022-04-26 19:33:33+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0841666666666666,0.6708333333333334,89864,60948,838209,16503
1,2022-04-26 18:26:46+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.1375,0.9,192783,80540,1652493,18831
1,2022-04-25 19:43:22+00:00,Twitter for iPhone,0,und,1,0,0,0,0,0.0,0.0,347966,150818,2607590,64462
1,2022-04-25 16:12:30+00:00,Twitter for iPhone,0,en,1,0,0,0,0,-0.3,0.9,368114,181052,3231528,71214
1,2022-04-25 15:35:41+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.5,0.6,52786,39834,799116,7264
1,2022-04-24 14:25:01+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.2,0.15000000000000002,20707,11995,390284,1926
1,2022-04-24 11:46:48+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,30991,33173,486235,4711
1,2022-04-23 04:07:18+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,41301,12309,620660,3893
1,2022-04-23 03:30:45+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.2,0.6,134434,71564,1400837,31593
1,2022-04-22 23:43:11+00:00,Twitter for iPhone,0,en,1,0,0,0,0,1.0,0.3,8829,54924,162945,3293
1,2022-04-22 23:39:48+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,25063,18936,323626,3129
1,2022-04-21 20:20:38+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.125,25609,16383,320024,2196
1,2022-04-21 20:12:46+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,24089,13629,445358,1691
1,2022-04-21 20:09:15+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,15244,13123,302114,1410
1,2022-04-21 18:56:34+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.2,0.30000000000000004,25011,17957,448466,7380
1,2022-04-21 18:53:55+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.875,0.1,73450,33818,868177,13068
1,2022-04-21 18:50:52+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.125,0.65,13511,9891,283752,1026
1,2022-04-21 03:09:12+00:00,Twitter for iPhone,0,en,1,0,0,0,0,-0.46875,0.75,13482,18756,168941,2033
1,2022-04-20 03:32:19+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,17837,64038,280229,4616
1,2022-04-19 18:25:05+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.1134353741496598,0.5146258503401361,41923,27798,491407,4866
1,2022-04-18 21:32:12+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.75,0.625,11779,12018,200077,702
